prefix,source_columns,n_bins,generated_features,keep_original_bin_columns,candidate_strategy,repeat_id,fold_id
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_bin_projection,1,2
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_bin_projection,1,2
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_bin_projection,1,2
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_bin_projection,1,2
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_bin_projection,1,3
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_bin_projection,1,3
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_bin_projection,1,3
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_bin_projection,1,3
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_bin_projection,1,3
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_bin_projection,1,3
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_bin_projection,1,3
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_bin_projection,1,4
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_bin_projection,1,4
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_bin_projection,1,4
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_bin_projection,1,4
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_bin_projection,1,4
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_bin_projection,1,4
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_bin_projection,1,4
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_bin_projection,1,5
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_bin_projection,1,5
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_bin_projection,1,5
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_bin_projection,1,5
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_bin_projection,1,5
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_bin_projection,1,5
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_bin_projection,1,5
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,1
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,2
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,3
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,4
ag,ag_000|ag_001|ag_002|ag_003|ag_004|ag_005|ag_006|ag_007|ag_008|ag_009,10,bin_ag_sum|bin_ag_mean|bin_ag_std|bin_ag_max|bin_ag_nonzero_count|bin_ag_zero_rate|bin_ag_weighted_mean_bin|bin_ag_tail_ratio|bin_ag_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
ay,ay_000|ay_001|ay_002|ay_003|ay_004|ay_005|ay_006|ay_007|ay_008|ay_009,10,bin_ay_sum|bin_ay_mean|bin_ay_std|bin_ay_max|bin_ay_nonzero_count|bin_ay_zero_rate|bin_ay_weighted_mean_bin|bin_ay_tail_ratio|bin_ay_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
az,az_000|az_001|az_002|az_003|az_004|az_005|az_006|az_007|az_008|az_009,10,bin_az_sum|bin_az_mean|bin_az_std|bin_az_max|bin_az_nonzero_count|bin_az_zero_rate|bin_az_weighted_mean_bin|bin_az_tail_ratio|bin_az_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
ba,ba_000|ba_001|ba_002|ba_003|ba_004|ba_005|ba_006|ba_007|ba_008|ba_009,10,bin_ba_sum|bin_ba_mean|bin_ba_std|bin_ba_max|bin_ba_nonzero_count|bin_ba_zero_rate|bin_ba_weighted_mean_bin|bin_ba_tail_ratio|bin_ba_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
cn,cn_000|cn_001|cn_002|cn_003|cn_004|cn_005|cn_006|cn_007|cn_008|cn_009,10,bin_cn_sum|bin_cn_mean|bin_cn_std|bin_cn_max|bin_cn_nonzero_count|bin_cn_zero_rate|bin_cn_weighted_mean_bin|bin_cn_tail_ratio|bin_cn_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
cs,cs_000|cs_001|cs_002|cs_003|cs_004|cs_005|cs_006|cs_007|cs_008|cs_009,10,bin_cs_sum|bin_cs_mean|bin_cs_std|bin_cs_max|bin_cs_nonzero_count|bin_cs_zero_rate|bin_cs_weighted_mean_bin|bin_cs_tail_ratio|bin_cs_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
ee,ee_000|ee_001|ee_002|ee_003|ee_004|ee_005|ee_006|ee_007|ee_008|ee_009,10,bin_ee_sum|bin_ee_mean|bin_ee_std|bin_ee_max|bin_ee_nonzero_count|bin_ee_zero_rate|bin_ee_weighted_mean_bin|bin_ee_tail_ratio|bin_ee_peak_bin_index,True,median_all_structural_all_plus_bin_projection,1,5
