feature_family,feature_name,source_columns_or_prefix,calculation_method,fit_data,transform_data,selection_rule,priority,expected_signal,risk_or_limitation,use_in_day13_first_round
prefix_missing_summary,prefix_cn_missing_count,"cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009",count missing values within cn group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,high,cn group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_cn_missing_rate,"cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009",missing count / cn group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,high,cn group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_az_missing_count,"az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009",count missing values within az group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,medium,az group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_az_missing_rate,"az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009",missing count / az group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,medium,az group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_cs_missing_count,"cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009",count missing values within cs group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,medium,cs group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_cs_missing_rate,"cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009",missing count / cs group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,medium,cs group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ba_missing_count,"ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009",count missing values within ba group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,low,ba group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ba_missing_rate,"ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009",missing count / ba group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,low,ba group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ee_missing_count,"ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009",count missing values within ee group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,low,ee group missing structure,"anonymous prefix, no physical meaning",True
prefix_missing_summary,prefix_ee_missing_rate,"ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009",missing count / ee group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 multi-feature prefix analysis,low,ee group missing structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_ag_zero_count,"ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009",count zero values within ag group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,high,ag group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_ag_zero_rate,"ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009",zero count / ag group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,high,ag group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_ay_zero_count,"ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009",count zero values within ay group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,high,ay group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_ay_zero_rate,"ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009",zero count / ay group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,high,ay group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_cn_zero_count,"cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009",count zero values within cn group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,high,cn group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_cn_zero_rate,"cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009",zero count / cn group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,high,cn group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_az_zero_count,"az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009",count zero values within az group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,medium,az group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_az_zero_rate,"az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009",zero count / az group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,medium,az group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_cs_zero_count,"cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009",count zero values within cs group,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,medium,cs group zero structure,"anonymous prefix, no physical meaning",True
prefix_zero_summary,prefix_cs_zero_rate,"cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009",zero count / cs group feature count,prefix membership from train_inner schema,train_inner/valid/official_test with same prefix members,prefix selected from Day11 zero-structure signal,medium,cs group zero structure,"anonymous prefix, no physical meaning",True
selected_missing_indicators,missing_br_000,br_000,is_missing(br_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bq_000,bq_000,is_missing(bq_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bp_000,bp_000,is_missing(bp_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bo_000,bo_000,is_missing(bo_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bn_000,bn_000,is_missing(bn_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bm_000,bm_000,is_missing(bm_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_di_000,di_000,is_missing(di_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dh_000,dh_000,is_missing(dh_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dj_000,dj_000,is_missing(dj_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dk_000,dk_000,is_missing(dk_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dl_000,dl_000,is_missing(dl_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_eb_000,eb_000,is_missing(eb_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_df_000,df_000,is_missing(df_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dg_000,dg_000,is_missing(dg_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dm_000,dm_000,is_missing(dm_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_ak_000,ak_000,is_missing(ak_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_ca_000,ca_000,is_missing(ca_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_ac_000,ac_000,is_missing(ac_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_ad_000,ad_000,is_missing(ad_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_cf_000,cf_000,is_missing(cf_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_cg_000,cg_000,is_missing(cg_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_ch_000,ch_000,is_missing(ch_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_co_000,co_000,is_missing(co_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bl_000,bl_000,is_missing(bl_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_ar_000,ar_000,is_missing(ar_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_bz_000,bz_000,is_missing(bz_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_cp_000,cp_000,is_missing(cp_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_do_000,do_000,is_missing(do_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dx_000,dx_000,is_missing(dx_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
selected_missing_indicators,missing_dy_000,dy_000,is_missing(dy_000),train_inner missing rate and pos/neg missing difference,train_inner/valid/official_test using same selected fields,missing_rate >= 0.01 and abs(pos_missing_rate - neg_missing_rate) >= 0.1,high,strong pos/neg missing difference,single-field indicator may overfit and needs validation,True
optional_outlier_summary,sample_outlier_count_p99,all numeric features,count values above train_inner q0.99,outlier thresholds fit on train_inner quantiles only,train_inner/valid/official_test with same thresholds,"optional second-round design, disabled in first round",low,long-tail and extreme-value structure,may be noisy; not included in Day13 first round,False
optional_outlier_summary,sample_outlier_rate_p99,all numeric features,outlier count / numeric feature count using train_inner q0.99,outlier thresholds fit on train_inner quantiles only,train_inner/valid/official_test with same thresholds,"optional second-round design, disabled in first round",low,long-tail and extreme-value structure,may be noisy; not included in Day13 first round,False
optional_outlier_summary,prefix_az_outlier_count,az_*,count az group values above train_inner q0.99,outlier thresholds fit on train_inner quantiles only,train_inner/valid/official_test with same thresholds,"optional second-round design, disabled in first round",low,long-tail and extreme-value structure,may be noisy; not included in Day13 first round,False
optional_outlier_summary,prefix_cs_outlier_count,cs_*,count cs group values above train_inner q0.99,outlier thresholds fit on train_inner quantiles only,train_inner/valid/official_test with same thresholds,"optional second-round design, disabled in first round",low,long-tail and extreme-value structure,may be noisy; not included in Day13 first round,False
